iter	RMSE
1074	0.0846376065
1075	0.08461416468
1076	0.08456521364
1077	0.08453984908
1078	0.08450604019
1079	0.08450023761
1080	0.08449863953
1081	0.0844977298
1082	0.08447383763
1083	0.08444933892
1084	0.08440073822
1085	0.08437959864
1086	0.08436559756
1087	0.08435880188
1088	0.08434202744
1089	0.0843223398
1090	0.08429296849
1091	0.0842666867
1092	0.08426116008
1093	0.08422107386
1094	0.08420657521
1095	0.08416873599
1096	0.08415793557
1097	0.08414072467
1098	0.0841283706
1099	0.08411186179
1100	0.08407082198
1101	0.08405773618
1102	0.0840241672
1103	0.08399390628
1104	0.08394234726
1105	0.08394118363
1106	0.0839124203
1107	0.08389253469
1108	0.08387240457
1109	0.08387155151
1110	0.08385090099
1111	0.08379716633
1112	0.08373830441
1113	0.08373691013
1114	0.08371599432
1115	0.08370601287
1116	0.08369126251
1117	0.08367432711
1118	0.08365215973
1119	0.08362243447
1120	0.08358062429
1121	0.08351408922
1122	0.08348811726
1123	0.083468579
1124	0.08345349645
1125	0.0834483951
1126	0.08341060253
1127	0.08335920683
1128	0.08332910847
1129	0.08330199178
1130	0.08327870074
1131	0.08325377941
1132	0.08323093138
1133	0.0832076178
1134	0.08320175241
1135	0.08319873333
1136	0.0831763746
1137	0.08313390784
1138	0.08311099076
1139	0.08305104704
1140	0.08298701467
1141	0.08297467588
1142	0.08295819252
1143	0.08293157998
1144	0.08290186732
1145	0.08289049573
1146	0.08287128201
1147	0.08286175028
1148	0.08281105973
1149	0.08280001648
1150	0.08274349871
1151	0.08271873169
1152	0.08267602957
1153	0.0826296955
1154	0.08259939521
1155	0.08259533294
1156	0.08259121249
1157	0.08257737229
1158	0.08254464112
1159	0.08253067508
1160	0.08248769219
1161	0.08247966618
1162	0.08244050468
1163	0.08243920082
1164	0.08243200009
1165	0.08241427307
1166	0.08239570328
1167	0.08237066793
1168	0.08231068613
1169	0.0822910664
1170	0.0822839134
1171	0.08221770508
1172	0.08216948172
1173	0.08213332938
1174	0.0821129631
1175	0.08208945083
1176	0.08207928977
1177	0.08206249828
1178	0.08204155297
1179	0.08203116637
1180	0.08198882286
1181	0.08197962714
1182	0.0819235998
1183	0.08192069149
1184	0.08190077467
1185	0.08189600512
1186	0.081866094
1187	0.08183907544
1188	0.08183832777
1189	0.08182285626
1190	0.0817928663
1191	0.08177470408
1192	0.08177027633
1193	0.08175522249
1194	0.08174525291
1195	0.08169565047
1196	0.08166990045
1197	0.08166177804
1198	0.08161944714
1199	0.08160887548
1200	0.08157560338
1201	0.08155206706
1202	0.08154762696
1203	0.08150782679
1204	0.08148898914
1205	0.08146723321
1206	0.0814077994
1207	0.08137000648
1208	0.08135504766
1209	0.08133634098
1210	0.08132263796
1211	0.08132193451
1212	0.08129639205
1213	0.08128623261
1214	0.08123270799
1215	0.08122419832
1216	0.08120137349
1217	0.08118577529
1218	0.08118151504
1219	0.08116560103
1220	0.08115165539
1221	0.08112153498
1222	0.08108904567
1223	0.08108825798
1224	0.08106383793
1225	0.08103253303
1226	0.08101417883
1227	0.08095596153
1228	0.08093037892
1229	0.08090092998
1230	0.08089023996
1231	0.08088333424
1232	0.080870224
1233	0.08082679873
1234	0.08081257279
1235	0.08079525439
1236	0.08079201032
1237	0.08077285355
1238	0.08072536425
1239	0.0807212486
1240	0.08071535322
1241	0.08067690523
1242	0.08065047911
1243	0.08063252481
1244	0.08062857059
